"Year","Occupation","Total_Number","Men_Number","Women_Number","Total_MedianEarnings","Men_MedianEarnings","Women_MedianEarnings"
2013,"...Tellers",233474,26160,207314,25222,25564,25222
2013,"...Laborers and freight, stock, and material movers, hand",1211599,1009313,202286,24953,30531,24953
2013,"...First-line supervisors of food preparation and serving workers",374711,176476,198235,22506,27453,22506
2013,"...Insurance sales agents",429706,235417,194289,41250,61639,41250
2013,"Other teachers and instructors",359794,169655,190139,40132,50250,40132
2013,"...Word processors and typists",217182,29544,187638,32208,36294,32208
2013,"...Data entry keyers",235336,51507,183829,31236,35544,31236
2013,"Software developers, applications and systems software",924888,741308,183580,83808,96868,83808
2013,"....Social and community service managers",279952,96503,183449,51933,62367,51933
2013,"....Human resources managers",307004,125240,181764,64662,75328,64662
2013,"...Clinical laboratory technologists and technicians",245751,65488,180263,44623,46941,44623
2013,"...Diagnostic related technologists and technicians",237127,74756,162371,52950,60703,52950
2013,"Computer systems analysts",441538,280626,160912,69346,81174,69346
2013,"...Food preparation workers",302338,142050,160288,18376,19870,18376
2013,"Claims adjusters, appraisers, examiners, and investigators",257730,98587,159143,46520,60097,46520
2013,"Credit counselors and loan officers",285649,130778,154871,46394,69726,46394
2013,"...Production, planning, and expediting clerks",267453,115532,151921,37246,56437,37246
2013,"...Sales representatives, services, all other",497043,346088,150955,48984,65763,48984
2013,"...Security guards and gaming surveillance officers",668775,518657,150118,29883,30546,29883
2013,"...Packers and packagers, hand",273503,123631,149872,20876,22711,20876
2013,"...First-line supervisors of production and operating workers",802370,656622,145748,40815,54494,40815
2013,"...File clerks",189148,44248,144900,31976,35594,31976
2013,"Special education teachers",165928,25578,140350,47378,46932,47378
2013,"..Installation, Maintenance, and Repair Occupations:",3860624,3721190,139434,40347,43781,40347
2013,"...Dental assistants",147438,8460,138978,30399,26823,30399
2013,"....Computer and information systems managers",489048,354369,134679,90940,101318,90940
2013,"Market research analysts and marketing specialists",230432,102417,128015,60673,80508,60673
2013,"...Dispatchers",235227,108901,126326,34067,41363,34067
2013,"...Miscellaneous personal appearance workers",159831,33519,126312,21632,22047,21632
2013,"...Shipping, receiving, and traffic clerks",445945,322035,123910,27939,31401,27939
2013,"...Payroll and timekeeping clerks",138447,15290,123157,38923,41838,38923
2013,"Computer support specialists",458736,339470,119266,49001,53960,49001
2013,"..Construction and Extraction Occupations:",4960836,4841705,119131,33236,40078,33236
2013,"Business operations specialists, all other",211970,98399,113571,51378,67442,51378
2013,"Purchasing agents, except wholesale, retail, and farm products",220927,107988,112939,50058,60957,50058
2013,"Miscellaneous legal support workers",148521,40412,108109,43663,60958,43663
2013,"...Pharmacists",205734,98972,106762,111809,120792,111809
2013,"...Driver/sales workers and truck drivers",2472147,2365886,106261,27657,40865,27657
2013,"...Bailiffs, correctional officers, and jailers",387955,281897,106058,37042,45432,37042
2013,"...Packaging and filling machine operators and tenders",198721,92772,105949,22809,28528,22809
2013,"..Farming, Fishing, and Forestry Occupations:",625689,520660,105029,18998,26271,18998
2013,"...Bus drivers",275991,174830,101161,27180,37569,27180
2013,"...Bill and account collectors",142343,42195,100148,32234,36784,32234
2013,"...Bartenders",203401,104261,99140,23849,28682,23849
2013,"...Sewing machine operators",134443,36754,97689,20430,22855,20430
2013,"Compliance officers",193020,95524,97496,60054,66724,60054
2013,"Librarians",111952,19727,92225,48005,51879,48005
2013,"...Loan interviewers and clerks",116281,25344,90937,38807,41750,38807
2013,"...Postal service mail carriers",251980,161216,90764,52085,57073,52085
2013,"...Recreation and fitness workers",163532,72807,90725,28203,35636,28203
2013,"...Physical therapists",136392,49118,87274,70509,80411,70509
2013,"Personal financial advisors",283136,196273,86863,60359,98126,60359
2013,"...Police and sheriff's patrol officers",623338,539272,84066,56541,61694,56541
2013,"Wholesale and retail buyers, except farm products",170412,86522,83890,42990,41619,42990
2013,"...Sales and related workers, all other",186390,103486,82904,44956,61045,44956
2013,"...Medical records and health information technicians",90186,9831,80355,31126,36960,31126
2013,"....Purchasing managers",175540,96499,79041,62785,81528,62785
2013,"Psychologists",115139,37071,78068,62146,76903,62146
2013,"Computer occupations, all other",354952,277889,77063,65329,66971,65329
2013,"...Advertising sales agents",155726,78938,76788,45378,60522,45378
2013,"Computer programmers",374314,298175,76139,75088,81508,75088
2013,"...Miscellaneous therapists, including exercise physiologists",99008,24425,74583,46040,50295,46040
2013,"Social and human service assistants",94377,20048,74329,35766,34967,35766
2013,"...Speech-language pathologists",77904,3626,74278,60552,68346,60552
2013,"...Combined food preparation and serving workers, including fast food",114984,41054,73930,19325,20150,19325
2013,"...Nurse practitioners",81140,8332,72808,91276,106141,91276
2013,"...Nonfarm animal caretakers",103783,31762,72021,24401,25025,24401
2013,"...Information and record clerks, all other",85226,14182,71044,36352,41589,36352
2013,"...Securities, commodities, and financial services sales agents",226082,157344,68738,51284,93795,51284
2013,"...Miscellaneous agricultural workers",451767,383111,68656,17713,24602,17713
2013,"...Metal workers and plastic workers, all other",317561,249208,68353,26963,35514,26963
2013,"...Interviewers, except eligibility and loan",84440,16624,67816,30395,35424,30395
2013,"...Healthcare support workers, all other, including medical equipment preparers",94391,28907,65484,26452,32130,26452
2013,"...Laundry and dry-cleaning workers",111926,47034,64892,19203,24752,19203
2013,"...Physician assistants",100572,35720,64852,76396,93791,76396
2013,"Physical scientists, all other",171530,106686,64844,61217,85195,61217
2013,"...Phlebotomists",75727,11061,64666,30732,34855,30732
2013,"...Bakers",131066,67099,63967,22040,26114,22040
2013,"Engineering technicians, except drafters",371566,307644,63922,43517,56847,43517
2013,"Meeting, convention, and event planners",78856,15208,63648,46973,47876,46973
2013,"Writers and authors",121198,57902,63296,51219,60192,51219
2013,"Other education, training, and library workers",88624,26398,62226,50756,55834,50756
2013,"Insurance underwriters",94336,33432,60904,52283,75372,52283
2013,"Medical scientists",112826,53210,59616,66860,80113,66860
2013,"...First-line supervisors of housekeeping and janitorial workers",182546,123092,59454,26860,41180,26860
2013,"Public relations specialists",97408,38545,58863,58483,76638,58483
2013,"...Dental hygienists",61825,3320,58505,51972,53709,51972
2013,"Operations research analysts",123636,65206,58430,68925,86748,68925
2013,"Editors",117721,59523,58198,51884,55899,51884
2013,"...Financial clerks, all other",95267,37438,57829,42122,67732,42122
2013,"...Court, municipal, and license clerks",70610,13198,57412,35585,42192,35585
2013,"...Miscellaneous health technologists and technicians",90586,33686,56900,39277,47830,39277
2013,"Training and development specialists",105954,50856,55098,50024,59310,50024
2013,"...Electrical, electronics, and electromechanical assemblers",116834,61800,55034,27385,31243,27385
2013,"...Dietitians and nutritionists",61437,7250,54187,47717,49001,47717
2013,"....Farmers, ranchers, and other agricultural managers",499775,446121,53654,25310,41691,25310
2013,"...Occupational therapists",59239,6903,52336,67164,75740,67164
2013,"...Respiratory therapists",84482,32234,52248,51864,60677,51864
2013,"...Order clerks",85033,33587,51446,31216,33757,31216
2013,"...First-line supervisors of personal service workers",98491,47150,51341,30871,40006,30871
2013,"...Eligibility interviewers, government programs",65971,14730,51241,40071,50400,40071
2013,"...Chefs and head cooks",303612,252537,51075,25534,30810,25534
2013,"Engineers, all other",439749,388864,50885,81702,91800,81702
2013,"Clergy",339774,289076,50698,40754,45350,40754
2013,"...Hotel, motel, and resort desk clerks",76241,27058,49183,21329,21995,21329
2013,"....Lodging managers",96419,47382,49037,36533,50610,36533
2013,"...Butchers and other meat, poultry, and fish processing workers",203134,154517,48617,22876,29333,22876
2013,"...Reservation and transportation ticket agents and travel clerks",86373,38370,48003,35344,40755,35344
2013,"...Postal service clerks",94064,47005,47059,52574,54166,52574
2013,"...Emergency medical technicians and paramedics",157684,110916,46768,37023,43647,37023
2013,"Miscellaneous life, physical, and social science technicians",100831,55051,45780,40792,48138,40792
2013,"Fundraisers",63985,18678,45307,57730,69292,57730
2013,"...Food servers, nonrestaurant",69554,24402,45152,22775,23729,22775
2013,"...Human resources assistants, except payroll and timekeeping",54580,9723,44857,37643,42293,37643
2013,"Producers and directors",117967,73980,43987,66226,62368,66226
2013,"...Massage therapists",57261,13680,43581,29240,29272,29240
2013,"Miscellaneous community and social service specialists, including health educators and community health workers",68388,25669,42719,39620,47966,39620
2013,"Artists and related workers",116825,75425,41400,37261,54669,37261
2013,"....Industrial production managers",218198,177200,40998,65033,74623,65033
2013,"Probation officers and correctional treatment specialists",83568,42704,40864,44385,47561,44385
2013,"Web developers",136446,95672,40774,53995,61566,53995
2013,"Database administrators",101323,61969,39354,61378,84609,61378
2013,"Compensation, benefits, and job analysis specialists",53127,13895,39232,47927,61089,47927
2013,"....Administrative services managers",109703,72873,36830,55079,66579,55079
2013,"...Travel agents",46577,9963,36614,36746,40408,36746
2013,"Industrial engineers, including health and safety",172367,136669,35698,66498,76487,66498
2013,"...Hosts and hostesses, restaurant, lounge, and coffee shop",42666,7262,35404,17260,23444,17260
2013,"Network and computer systems administrators",195372,160376,34996,61699,68363,61699
2013,"....Construction managers",469706,434849,34857,62198,69556,62198
2013,"...Grounds maintenance workers",728064,693654,34410,21996,23639,21996
2013,"...Computer operators",78265,43996,34269,37288,48966,37288
2013,"...Printing workers, except prepress technicians and workers",169498,135466,34032,26679,36916,26679
2013,"Logisticians",97563,63756,33807,50410,54698,50410
2013,"....Transportation, storage, and distribution managers",185512,151841,33671,52259,52017,52259
2013,"Tax examiners and collectors, and revenue agents",50960,17617,33343,45704,66754,45704
2013,"...Flight attendants",43455,10842,32613,41168,51594,41168
2013,"...Physical therapist assistants and aides",44581,12122,32459,41098,46313,41098
2013,"Financial specialists, all other",58785,26520,32265,48869,81859,48869
2013,"Photographers",80489,48494,31995,30455,44513,30455
2013,"...Postal service mail sorters, processors, and processing machine operators",61856,30285,31571,52637,54885,52637
2013,"Architects, except naval",145439,114341,31098,60518,75395,60518
2013,"Athletes, coaches, umpires, and related workers",114456,83451,31005,36682,46602,36682
2013,"...Gaming services workers",64709,33752,30957,35023,37441,35023
2013,"...Dining room and cafeteria attendants and bartender helpers",86785,56021,30764,17663,20378,17663
2013,"...Medical transcriptionists",31868,1221,30647,31772,40429,31772
2013,"...Food processing workers, all other",95533,65550,29983,27983,32439,27983
2013,"...Medical, dental, and ophthalmic laboratory technicians",64031,34102,29929,30704,37346,30704
2013,"...Tailors, dressmakers, and sewers",42018,12251,29767,21759,27459,21759
2013,"...Detectives and criminal investigators",117375,87855,29520,59386,75025,59386
2013,"...Supervisors of transportation and material moving workers",185456,156031,29425,40904,51339,40904
2013,"...Private detectives and investigators",68657,39367,29290,45436,56439,45436
2013,"...Credit authorizers, checkers, and clerks",40119,10893,29226,35037,50853,35037
2013,"Civil engineers",257802,228722,29080,71854,81911,71854
2013,"Biological scientists",60924,31860,29064,57107,57653,57107
2013,"...Industrial truck and tractor operators",428059,399291,28768,30981,31002,30981
2013,"...Veterinarians",57599,29223,28376,80681,96582,80681
2013,"Chemists and materials scientists",71161,42953,28208,65582,71853,65582
2013,"...Food batchmakers",56485,28317,28168,24268,31811,24268
2013,"....Public relations and fundraising managers",44198,16141,28057,66052,90071,66052
2013,"...Other healthcare practitioners and technical occupations",72636,44786,27850,47405,60786,47405
2013,"...Telemarketers",44182,16477,27705,25257,26440,25257
2013,"...Library assistants, clerical",33132,5578,27554,27952,30889,27952
2013,"Miscellaneous media and communication workers",45120,17870,27250,40256,46135,40256
2013,"...Opticians, dispensing",39047,11901,27146,32267,42128,32267
2013,"Tax preparers",51485,24538,26947,47997,70641,47997
2013,"Budget analysts",41799,14880,26919,65830,78667,65830
2013,"...Cleaners of vehicles and equipment",197864,171164,26700,24793,23605,24793
2013,"...Weighers, measurers, checkers, and samplers, recordkeeping",61712,35803,25909,30345,40651,30345
2013,"Appraisers and assessors of real estate",75414,49592,25822,45643,61056,45643
2013,"...Construction laborers",986693,961321,25372,27927,31066,27927
2013,"....Advertising and promotions managers",43015,17775,25240,55860,75190,55860
2013,"...First-line supervisors of gaming workers",58437,33458,24979,37178,45980,37178
2013,"...Welding, soldering, and brazing workers",488957,464041,24916,26893,39281,26893
2013,"...Mail clerks and mail machine operators, except postal service",54267,29670,24597,28308,30238,28308
2013,"Technical writers",43977,19964,24013,61511,75598,61511
2013,"Judges, magistrates, and other judicial workers",55881,32209,23672,83173,115636,83173
2013,"News analysts, reporters and correspondents",52566,29289,23277,45994,55156,45994
2013,"...Dentists",97562,74382,23180,102460,151071,102460
2013,"...Door-to-door sales workers, news and street vendors, and related workers",55838,33591,22247,23312,29469,23312
2013,"Religious workers, all other",41694,19827,21867,35612,40454,35612
2013,"Drafters",124267,102941,21326,47123,52296,47123
2013,"...Counter and rental clerks",45567,24387,21180,27194,27449,27194
2013,"...Telephone operators",28046,6893,21153,27360,31822,27360
2013,"....Training and development managers",41185,20111,21074,71091,80754,71091
2013,"...Graders and sorters, agricultural products",32773,11741,21032,18099,23490,18099
2013,"Financial analysts",65367,44484,20883,63424,100081,63424
2013,"...Taxi drivers and chauffeurs",196209,175350,20859,21521,26763,21521
2013,"...Miscellaneous entertainment attendants and related workers",47151,26402,20749,24154,25928,24154
2013,"...Couriers and messengers",151599,130948,20651,30480,39789,30480
2013,"Environmental scientists and geoscientists",65341,45052,20289,61583,77333,61583
2013,"...Computer, automated teller, and office machine repairers",176644,156442,20202,39601,43137,39601
2013,"...Counter attendants, cafeteria, food concession, and coffee shop",30891,10920,19971,16771,20304,16771
2013,"...First-line supervisors of protective service workers, all other",73041,53093,19948,44965,50239,44965
2013,"...Procurement clerks",32617,13441,19176,45564,65297,45564
2013,"...Veterinary assistants and laboratory animal caretakers",23366,4416,18950,22461,26551,22461
2013,"Archivists, curators, and museum technicians",31925,13316,18609,46130,58285,46130
2013,"Directors, religious activities and education",34970,16961,18009,38681,43053,38681
2013,"...Maintenance and repair workers, general",449977,432709,17268,36185,41683,36185
2013,"...First-line supervisors of mechanics, installers, and repairers",243639,226658,16981,52927,57076,52927
2013,"...First-line supervisors of construction trades and extraction workers",601644,584749,16895,43878,56164,43878
2013,"Chemical technicians",51689,34926,16763,47360,51831,47360
2013,"...Painters, construction and maintenance",326717,310089,16628,26453,30131,26453
2013,"Electrical and electronics engineers",180122,163656,16466,81167,93351,81167
2013,"...Pharmacy aides",22034,5644,16390,29383,30645,29383
2013,"...Switchboard operators, including answering service",20377,4152,16225,23936,33816,23936
2013,"Miscellaneous social scientists and related workers, including sociologists",32080,15884,16196,52123,68632,52123
2013,"...Dishwashers",102959,86995,15964,17332,17302,17332
2013,"....Postmasters and mail superintendents",28282,12394,15888,56317,77465,56317
2013,"...Pressers, textile, garment, and related materials",25595,10309,15286,20168,27268,20168
2013,"Statisticians",31319,16117,15202,74291,87488,74291
2013,"...First-line supervisors of police and detectives",102581,87467,15114,65227,75566,65227
2013,"...Residential advisors",24461,9448,15013,25074,27339,25074
2013,"...Lifeguards and other recreational, and all other protective service workers",32041,17049,14992,27889,32037,27889
2013,"...Personal care and service workers, all other",48690,33740,14950,21820,26597,21820
2013,"...First-line supervisors of correctional officers",49105,34261,14844,44324,54853,44324
2013,"...Animal trainers",27354,12684,14670,26400,29644,26400
2013,"Mechanical engineers",206515,191858,14657,72416,80193,72416
2013,"Cost estimators",105744,91484,14260,49443,60249,49443
2013,"...Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",75234,61087,14147,26923,32671,26923
2013,"...Machinists",330090,316382,13708,31887,45549,31887
2013,"...Radio and telecommunications equipment installers and repairers",142862,129293,13569,45468,52209,45468
2013,"...Nurse anesthetists",21664,8259,13405,142185,150870,142185
2013,"Credit analysts",23011,9607,13404,51602,56903,51602
2013,"...Baggage porters, bellhops, and concierges",59390,46419,12971,30572,31799,30572
2013,"Library technicians",16163,3583,12580,31014,38063,31014
2013,"...Automotive and watercraft service attendants",67748,55406,12342,20516,22729,20516
2013,"Musicians, singers, and related workers",60370,48227,12143,42279,42988,42279
2013,"Aerospace engineers",117942,105914,12028,90023,101260,90023
2013,"....Architectural and engineering managers",132575,120777,11798,113507,121690,113507
2013,"...Office machine operators, except computer",24326,12575,11751,31192,35302,31192
2013,"...Photographic process workers and processing machine operators",25840,14124,11716,21348,31888,21348
2013,"....Compensation and benefits managers",14656,3387,11269,68207,97552,68207
2013,"...Statistical assistants",17346,6145,11201,40058,46090,40058
2013,"...Barbers",68648,57663,10985,18509,22321,18509
2013,"Agents and business managers of artists, performers, and athletes",28413,17494,10919,47043,51910,47043
2013,"...Prepress technicians and workers",23527,12712,10815,28806,38946,28806
2013,"...Carpenters",677720,667276,10444,26702,34698,26702
2013,"...Painting workers",101860,91461,10399,28032,33422,28032
2013,"...Firefighters",256196,246017,10179,57346,62361,57346
2013,"Information security analysts",50853,40681,10172,80245,86349,80245
2013,"...New accounts clerks",13217,3094,10123,31894,47191,31894
2013,"...Electricians",583544,573504,10040,41299,50029,41299
2013,"...Cutting workers",49849,40036,9813,21516,31113,21516
2013,"...Industrial and refractory machinery mechanics",332142,322465,9677,41142,50482,41142
2013,"...Optometrists",25610,16298,9312,96186,120521,96186
2013,"...Parts salespersons",82536,73360,9176,27467,34231,27467
2013,"...Other installation, maintenance, and repair workers, including wind turbine service technicians",168658,159562,9096,28922,37008,28922
2013,"Agricultural and food science technicians",24559,15509,9050,39464,45910,39464
2013,"...Radiation therapists",14694,5731,8963,68886,84219,68886
2013,"...Occupational therapy assistants and aides",10875,1945,8930,48606,50311,48606
2013,"...Automotive service technicians and mechanics",681551,672920,8631,31587,35523,31587
2013,"....Natural sciences managers",16766,8633,8133,85416,121164,85416
2013,"...Jewelers and precious stone and metal workers",26929,18880,8049,24657,36494,24657
2013,"...Audiologists",10771,3078,7693,75339,82289,75339
2013,"...Transportation security screeners",21025,13467,7558,41751,40732,41751
2013,"Computer network architects",91709,84233,7476,94445,96549,94445
2013,"Chemical engineers",53119,45725,7394,95507,100632,95507
2013,"...Models, demonstrators, and product promoters",12335,4971,7364,27018,50929,27018
2013,"...Chiropractors",34499,27139,7360,60223,72468,60223
2013,"...Crushing, grinding, polishing, mixing, and blending workers",70478,63515,6963,32032,37709,32032
2013,"Environmental engineers",25988,19105,6883,72478,80413,72478
2013,"...Aircraft mechanics and service technicians",141341,134480,6861,45440,56690,45440
2013,"...Machine feeders and offbearers",21230,14507,6723,21911,30290,21911
2013,"Computer hardware engineers",51453,44773,6680,76236,95258,76236
2013,"....Gaming managers",17294,10632,6662,47845,52127,47845
2013,"Actuaries",23200,16642,6558,106759,116019,106759
2013,"...Construction and building inspectors",67510,60968,6542,45705,53088,45705
2013,"...First-line supervisors of farming, fishing, and forestry workers",50720,44245,6475,31456,39581,31456
2013,"....Legislators",14815,8375,6440,65325,71530,65325
2013,"Surveyors, cartographers, and photogrammetrists",31315,24924,6391,50876,61190,50876
2013,"Agricultural and food scientists",22154,15764,6390,53805,62867,53805
2013,"Urban and regional planners",17145,10824,6321,62266,71693,62266
2013,"Judicial law clerks",11115,4920,6195,55883,54778,55883
2013,"Economists",20957,14810,6147,82427,120076,82427
2013,"...Tour and travel guides",15628,9572,6056,30413,29043,30413
2013,"...Health diagnosing and treating practitioners, all other",10251,4314,5937,42025,52729,42025
2013,"...Recreational therapists",9144,3265,5879,41782,42004,41782
2013,"...Air traffic controllers and airfield operations specialists",33382,27511,5871,65873,80236,65873
2013,"...Transportation attendants, except flight attendants",11113,5383,5730,22992,41630,22992
2013,"...Morticians, undertakers, and funeral directors",28279,22551,5728,31023,51129,31023
2013,"Miscellaneous media and communications equipment workers, including broadcast and sound engineering technicians and radio operators",68484,62777,5707,52954,50378,52954
2013,"...Refuse and recyclable material collectors",73441,67859,5582,22209,30057,22209
2013,"...Molders and molding machine setters, operators, and tenders, metal and plastic",35447,29875,5572,30011,38294,30011
2013,"...Telecommunications line installers and repairers",118663,113126,5537,55989,47527,55989
2013,"...Textile winding, twisting, and drawing out machine setters, operators, and tenders",9594,4129,5465,25449,24567,25449
2013,"...Paper goods machine setters, operators, and tenders",26459,21034,5425,25134,45905,25134
2013,"Financial examiners",10413,5134,5279,60411,77263,60411
2013,"...Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",38305,33030,5275,25041,32823,25041
2013,"...Computer control programmers and operators",72368,67129,5239,36468,42021,36468
2013,"...Cargo and freight agents",16189,10989,5200,40984,42852,40984
2013,"Biological technicians",13985,8785,5200,41644,46823,41644
2013,"...Pipelayers, plumbers, pipefitters, and steamfitters",397714,392587,5127,41047,43411,41047
2013,"...Chemical processing machine setters, operators, and tenders",49659,44589,5070,38087,51669,38087
2013,"Announcers",25670,20703,4967,41437,40829,41437
2013,"Entertainers and performers, sports and related workers, all other",14230,9381,4849,32475,42245,32475
2013,"...Transportation inspectors",35783,30980,4803,45220,58158,45220
2013,"...Extruding, forming, pressing, and compacting machine setters, operators, and tenders",21803,17029,4774,24444,36743,24444
2013,"Geological and petroleum technicians",16156,11467,4689,52394,62243,52394
2013,"...Agricultural inspectors",12458,7808,4650,44682,46125,44682
2013,"...First-line supervisors of landscaping, lawn service, and groundskeeping workers",112776,108132,4644,31980,39564,31980
2013,"Surveying and mapping technicians",45449,40811,4638,42403,49813,42403
2013,"Materials engineers",27975,23360,4615,73038,80877,73038
2013,"...Brokerage clerks",5857,1328,4529,45834,50040,45834
2013,"Conservation scientists and foresters",20271,15850,4421,52387,58798,52387
2013,"...Miscellaneous textile, apparel, and furnishings workers, including extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",10790,6417,4373,22354,28326,22354
2013,"...Precision instrument and equipment repairers",53885,49578,4307,40064,47813,40064
2013,"...Operating engineers and other construction equipment operators, including pile-driver operators",247830,243586,4244,33641,42289,33641
2013,"...Crossing guards",8589,4388,4201,30767,31471,30767
2013,"Dancers and choreographers",5424,1239,4185,30782,50701,30782
2013,"...Woodworking machine setters, operators, and tenders, except sawing",20413,16259,4154,25489,26282,25489
2013,"...Helpers--production workers",25685,21637,4048,22732,27179,22732
2013,"Actors",12456,8445,4011,37149,40745,37149
2013,"...Upholsterers",24713,20708,4005,20834,30724,20834
2013,"...Aircraft pilots and flight engineers",88969,85054,3915,50770,101007,50770
2013,"...Textile knitting and weaving machine setters, operators, and tenders",6615,2746,3869,25110,30288,25110
2013,"...Hazardous materials removal workers",23261,19410,3851,31033,40284,31033
2013,"...Material moving workers, all other",33196,29364,3832,28267,36755,28267
