"Year","Occupation","female_male_income_ratio","female_male_workers_ratio"
2013,"..Office and Administrative Support Occupations:",0.868881254359001,2.57746478113315
2013,"..Education, Legal, Community Service, Arts, and Media Occupations:",0.799514827640762,1.56815685642717
2013,"..Sales and Related Occupations:",0.631667959967369,0.69016350079493
2013,".Natural Resources, Construction, and Maintenance Occupations:",0.745798112836642,0.0400277204244373
2013,"..Production Occupations:",0.677661475619096,0.34681474851141
2013,"..Computer, Engineering, and Science Occupations:",0.830275229357798,0.310742302957564
2013,"..Healthcare Practitioners and Technical Occupations:",0.702525921980105,2.5109532199341
2013,"...Business and Financial Operations Occupations:",0.749370312721098,1.17734752411117
2013,"...Education, Training, and Library Occupations:",0.80700644998103,2.38809353754993
2013,"..Construction and Extraction Occupations:",0.829282898348221,0.0246051752430187
2013,"..Installation, Maintenance, and Repair Occupations:",0.921564148831685,0.0374702716066635
2013,"..Transportation Occupations:",0.735141429333851,0.103417670720495
2013,"..Food Preparation and Serving Related Occupations:",0.89174042609972,0.857020372194849
2013,"..Building and Grounds Cleaning and Maintenance Occupations:",0.747820471423959,0.479571720717751
2013,"...Computer and mathematical occupations:",0.866921710616204,0.335479854188586
2014,"..Office and Administrative Support Occupations:",0.881087232006621,2.48495131874287
2014,"..Education, Legal, Community Service, Arts, and Media Occupations:",0.79610890882537,1.60945926657658
2014,"..Sales and Related Occupations:",0.635236419008444,0.698858547076835
2014,".Natural Resources, Construction, and Maintenance Occupations:",0.756553481307266,0.0406262059490711
2014,"..Production Occupations:",0.662154413781068,0.341239598976221
2014,"..Computer, Engineering, and Science Occupations:",0.832842811877716,0.313825815343306
2014,"..Healthcare Practitioners and Technical Occupations:",0.719949226212609,2.56869867322264
2014,"...Business and Financial Operations Occupations:",0.763742789277231,1.17371652702404
2014,"..Construction and Extraction Occupations:",0.809333964567812,0.0254452734443691
2014,"...Education, Training, and Library Occupations:",0.810371433698188,2.4434459096522
2014,"..Installation, Maintenance, and Repair Occupations:",0.926521523998021,0.0384824286097052
2014,"..Transportation Occupations:",0.748924964970769,0.108192860942382
2014,"....Managers, all other",0.78174856413529,0.500986247167744
2014,"..Food Preparation and Serving Related Occupations:",0.889603241005769,0.84514733213437
2014,"...Computer and mathematical occupations:",0.873437557839665,0.332190646975458
2015,"Office and Administrative Support Occupations",0.894695089182895,2.45732471617159
2015,"Education, Legal, Community Service, Arts, and Media Occupations",0.802401010223322,1.62183735672003
2015,"Natural Resources, Construction, and Maintenance Occupations",0.758924229160587,0.0398669472353642
2015,"Sales and Related Occupations",0.639883757461514,0.698187871330877
2015,"Production Occupations",0.674069494250031,0.345132662560737
2015,"Computer, Engineering, and Science Occupations",0.84149514730728,0.314525967447476
2015,"Transportation and Material Moving Occupations",0.722189617457184,0.151907082863178
2015,"Healthcare Practitioners and Technical Occupations",0.707120023974826,2.63682830710623
2015,"Business and Financial Operations Occupations",0.766444803386432,1.1909662516123
2015,"Construction and Extraction Occupations",0.885186104218362,0.0259963166364026
2015,"Education, Training, and Library Occupations",0.821003370867102,2.42430859662397
2015,"Installation, Maintenance, and Repair Occupations",0.902339887949028,0.033991130160431
2015,"Transportation Occupations",0.747156667614444,0.110833639513766
2015,"Food Preparation and Serving Related Occupations",0.868978886594462,0.862097750660103
2015,"Managers, all other",0.805378687347058,0.506875887729582
2016,"Office and Administrative Support Occupations",0.887524030659376,2.40877060155152
2016,"Education, Legal, Community Service, Arts, and Media Occupations",0.78507616920564,1.65169700423564
